Titre,Date,Description,Couleur
Kéto,27 avril,festival Chants Ouverts à St Vincent de Durfort (07)
Kéto,24 mai,"Espace Millé, Isles d'Abeau (38)",bleu-keto
Kéto,19 juin,école de Saint-Saturnin-lès-Avignon (84),bleu-keto
Mamatissé,26 juin,Lyon (69),bordeaux-mamatisse
Voyages sonores,12 juillet,camping Hutopia Dieulefit (26),vert-sons
Voyages sonores,2 août,camping Hutopia Dieulefit (26),vert-sons
Kéto,3 août,camping Hutopia St Martin d'Ardèche (07),bleu-keto
Voyages sonores,23 août,camping Hutopia Dieulefit (26),vert-sons
Kéto,23 octobre,centre social à Buis les Baronnies (26),bleu-keto
Kéto,29 octobre,festival Imagi'mômes au Grau du roi (30),bleu-keto
Kéto,6 décembre,à Aouste-sur-Sye noël communauté de communes du Crestois et du pays de saillans (26),bleu-keto
Kéto,26 décembre,Opéra du Grand avignon (84),bleu-keto
